Fips	Location	TimeFrame	Data Type	Data	MOE
26	Michigan	2020	Percent	0.139	1.57E-02
26	Michigan	2021	Percent	0.13502	1.58E-02
27	Minnesota	2017	Percent	0.14415	2.84E-02
27	Minnesota	2018	Percent	0.12014	1.68E-02
27	Minnesota	2019	Percent	0.10289	2.14E-02
27	Minnesota	2020	Percent	0.08585	1.90E-02
27	Minnesota	2021	Percent	0.11088	1.69E-02
29	Missouri	2017	Percent	0.1603	2.27E-02
29	Missouri	2018	Percent	0.14402	2.53E-02
29	Missouri	2019	Percent	0.14828	2.67E-02
29	Missouri	2020	Percent	0.16169	2.62E-02
29	Missouri	2021	Percent	0.15717	2.49E-02
30	Montana	2017	Percent	0.12534	1.70E-02
30	Montana	2018	Percent	0.13132	2.17E-02
30	Montana	2019	Percent	0.13638	2.13E-02
30	Montana	2020	Percent	0.13432	2.09E-02
30	Montana	2021	Percent	0.13008	1.79E-02
32	Nevada	2017	Percent	0.17525	2.11E-02
32	Nevada	2018	Percent	0.13859	2.13E-02
32	Nevada	2019	Percent	0.09746	1.63E-02
32	Nevada	2020	Percent	0.13066	2.04E-02
32	Nevada	2021	Percent	0.14792	1.90E-02
34	New Jersey	2017	Percent	0.12756	1.39E-02
34	New Jersey	2018	Percent	0.11701	1.44E-02
34	New Jersey	2019	Percent	0.11725	1.83E-02
34	New Jersey	2020	Percent	0.08836	1.37E-02
34	New Jersey	2021	Percent	0.12941	2.00E-02
35	New Mexico	2017	Percent	0.17052	2.10E-02
35	New Mexico	2018	Percent	0.17153	1.80E-02
35	New Mexico	2019	Percent	0.17113	1.99E-02
35	New Mexico	2020	Percent	0.17667	1.92E-02
35	New Mexico	2021	Percent	0.16267	2.02E-02
36	New York	2017	Percent	0.13115	1.16E-02
36	New York	2018	Percent	0.13634	1.21E-02
36	New York	2019	Percent	0.11969	1.18E-02
36	New York	2020	Percent	0.13064	1.13E-02
36	New York	2021	Percent	0.14631	1.42E-02
41	Oregon	2017	Percent	0.14152	2.65E-02
41	Oregon	2018	Percent	0.11852	1.53E-02
41	Oregon	2019	Percent	0.13833	2.02E-02
41	Oregon	2020	Percent	0.11508	2.34E-02
41	Oregon	2021	Percent	0.14021	2.12E-02
42	Pennsylvania	2017	Percent	0.17122	1.66E-02
42	Pennsylvania	2018	Percent	0.15729	1.48E-02
42	Pennsylvania	2019	Percent	0.13598	1.60E-02
42	Pennsylvania	2020	Percent	0.15235	1.62E-02
42	Pennsylvania	2021	Percent	0.15447	1.47E-02
44	Rhode Island	2017	Percent	0.12951	2.39E-02
44	Rhode Island	2018	Percent	0.10852	2.20E-02
44	Rhode Island	2019	Percent	0.12213	2.41E-02
44	Rhode Island	2020	Percent	0.11271	2.13E-02
44	Rhode Island	2021	Percent	0.11366	2.27E-02
50	Vermont	2017	Percent	0.11779	1.82E-02
50	Vermont	2018	Percent	0.12695	2.02E-02
50	Vermont	2019	Percent	0.10911	1.72E-02
50	Vermont	2020	Percent	0.11138	1.73E-02
50	Vermont	2021	Percent	0.1301	2.40E-02
51	Virginia	2017	Percent	0.12201	1.75E-02
51	Virginia	2018	Percent	0.12569	1.63E-02
51	Virginia	2019	Percent	0.11683	1.56E-02
51	Virginia	2020	Percent	0.1215	1.82E-02
51	Virginia	2021	Percent	0.12594	1.66E-02
53	Washington	2017	Percent	0.12331	1.57E-02
53	Washington	2018	Percent	0.1168	1.63E-02
53	Washington	2019	Percent	0.09384	2.27E-02
53	Washington	2020	Percent	0.11973	1.93E-02
53	Washington	2021	Percent	0.11742	2.22E-02
