"Table 306.10. Total fall enrollment in degree-granting postsecondary institutions, by level of enrollment, sex, attendance status, and race/ethnicity or nonresident alien status of student: Selected
              years, 1976 through 2018",,,,,,,,,,,,,,,,,,,,,,
"Level of enrollment, sex, attendance status, and race/ethnicity or nonresident alien status of student",Fall enrollment (in thousands),,,,,,,,,,,Percentage distribution of U.S. resident students (excludes nonresident aliens),,,,,,,,,,
"    American Indian/Alaska 
       Native .............",37.6,46.1,59.7,89.7,117.5,97.5,91.6,88.0,86.0,83.7,82.2,0.7,0.8,0.8,1.1,1.0,0.9,0.8,0.8,0.8,0.8,0.8
    Two or more races ........................,---,---,---,---,191.0,322.9,372.5,379.9,384.1,404.6,423.1,---,---,---,---,1.6,2.9,3.4,3.5,3.6,3.8,3.9
  Nonresident alien\1\ .................................,64.6,94.2,145.2,231.4,328.0,380.1,407.9,433.7,442.5,448.4,449.1,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Full-time .....................................,"6,703.6","7,088.9","7,821.0","9,009.6","13,087.2","12,596.6","12,454.5","12,287.5","12,125.3","12,076.1","11,991.7",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White .....................................................,"5,512.6","5,717.0","6,016.5","6,231.1","8,053.5","7,237.7","6,983.3","6,784.0","6,611.4","6,482.2","6,359.5",84.2,83.4,79.9,72.5,64.3,60.8,59.7,59.1,58.5,57.6,56.9
"  Total, selected 
     races/ethnicities ....","1,030.9","1,137.5","1,514.9","2,368.5","4,468.5","4,663.7","4,708.6","4,690.3","4,686.0","4,768.6","4,814.0",15.8,16.6,20.1,27.5,35.7,39.2,40.3,40.9,41.5,42.4,43.1
    Black ........................................,659.2,685.6,718.3,982.6,"1,811.3","1,669.0","1,600.4","1,537.3","1,469.5","1,453.7","1,416.3",10.1,10.0,9.5,11.4,14.5,14.0,13.7,13.4,13.0,12.9,12.7
    Hispanic ........................................,211.1,247.0,394.7,710.3,"1,501.0","1,701.8","1,747.9","1,786.2","1,843.3","1,913.7","1,964.6",3.2,3.6,5.2,8.3,12.0,14.3,14.9,15.6,16.3,17.0,17.6
    Asian/Pacific Islander ........................,117.7,162.0,347.4,591.2,820.8,821.2,832.1,843.8,857.4,870.0,888.0,1.8,2.4,4.6,6.9,6.6,6.9,7.1,7.4,7.6,7.7,7.9
      Asian ...................................,---,---,---,---,783.0,785.5,798.1,812.2,826.9,840.6,859.6,---,---,---,---,6.3,6.6,6.8,7.1,7.3,7.5,7.7
      Pacific Islander ........................,---,---,---,---,37.8,35.7,34.0,31.6,30.4,29.4,28.4,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    American Indian/Alaska 
       Native .............",43.0,43.0,54.4,84.4,118.3,94.2,88.0,82.8,80.5,76.3,73.6,0.7,0.6,0.7,1.0,0.9,0.8,0.8,0.7,0.7,0.7,0.7
    Two or more races ........................,---,---,---,---,217.2,377.5,440.3,440.2,435.4,454.8,471.5,---,---,---,---,1.7,3.2,3.8,3.8,3.9,4.0,4.2
  Nonresident alien\1\ .................................,160.0,234.4,289.6,410.0,565.2,695.2,762.6,813.2,827.9,825.3,818.2,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Part-time .....................................,"4,282.1","4,997.9","5,997.7","6,302.7","7,932.3","7,780.1","7,754.6","7,700.7","7,721.6","7,702.0","7,654.2",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White ...........................................,"3,563.5","4,116.0","4,706.0","4,231.0","4,667.3","4,351.7","4,256.0","4,155.1","4,105.2","4,035.2","3,941.8",84.4,83.5,79.8,68.4,59.9,57.0,56.0,55.2,54.4,53.6,52.7
"  Total, selected 
     races/ethnicities ....",659.9,811.3,"1,189.8","1,953.0","3,122.5","3,283.4","3,343.4","3,376.4","3,446.2","3,492.2","3,538.6",15.6,16.5,20.2,31.6,40.1,43.0,44.0,44.8,45.6,46.4,47.3
    Black ........................................,373.8,421.2,528.7,747.7,"1,227.7","1,203.0","1,192.5","1,143.7","1,119.9","1,095.8","1,077.0",8.9,8.5,9.0,12.1,15.8,15.8,15.7,15.2,14.8,14.6,14.4
    Hispanic ........................................,172.7,224.8,387.7,751.5,"1,247.9","1,391.4","1,444.0","1,511.5","1,584.7","1,632.2","1,680.5",4.1,4.6,6.6,12.2,16.0,18.2,19.0,20.1,21.0,21.7,22.5
    Asian/Pacific Islander ........................,80.2,124.4,225.1,387.1,460.8,438.5,440.2,440.5,449.3,457.7,464.6,1.9,2.5,3.8,6.3,5.9,5.7,5.8,5.8,5.9,6.1,6.2
      Asian ...................................,---,---,---,---,434.6,413.2,415.7,416.9,426.5,435.1,442.5,---,---,---,---,5.6,5.4,5.5,5.5,5.6,5.8,5.9
      Pacific Islander ........................,---,---,---,---,26.2,25.3,24.4,23.6,22.8,22.6,22.1,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    American Indian/Alaska 
       Native .............",33.1,40.9,48.4,66.8,78.0,68.0,64.9,63.3,61.9,61.1,60.2,0.8,0.8,0.8,1.1,1.0,0.9,0.9,0.8,0.8,0.8,0.8
    Two or more races ........................,---,---,---,---,108.2,182.5,201.9,217.4,230.4,245.3,256.4,---,---,---,---,1.4,2.4,2.7,2.9,3.1,3.3,3.4
  Nonresident alien\1\ .................................,58.7,70.6,101.8,118.7,142.5,145.0,155.2,169.1,170.2,174.6,173.8,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
"     Undergraduate, total .................................","9,419.0","10,469.1","11,959.1","13,155.4","18,082.4","17,476.3","17,294.1","17,046.7","16,874.6","16,773.0","16,610.2",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
White ...............................................,"7,740.5","8,480.7","9,272.6","8,983.5","10,895.9","9,898.1","9,582.5","9,303.8","9,085.6","8,882.8","8,664.5",83.4,82.7,79.0,69.8,61.6,58.2,57.2,56.4,55.7,54.8,54.0
"Total, selected 
   races/ethnicities ......","1,535.3","1,778.5","2,467.7","3,884.0","6,788.1","7,094.6","7,182.3","7,177.8","7,218.9","7,316.2","7,379.1",16.6,17.3,21.0,30.2,38.4,41.8,42.8,43.6,44.3,45.2,46.0
  Black ................................................,943.4,"1,018.8","1,147.2","1,548.9","2,677.1","2,504.7","2,426.7","2,316.5","2,226.4","2,184.0","2,127.9",10.2,9.9,9.8,12.0,15.1,14.7,14.5,14.1,13.7,13.5,13.3
  Hispanic ........................................,352.9,433.1,724.6,"1,351.0","2,551.0","2,872.2","2,962.4","3,055.0","3,168.3","3,270.6","3,352.7",3.8,4.2,6.2,10.5,14.4,16.9,17.7,18.5,19.4,20.2,20.9
  Asian/Pacific Islander ........................,169.3,248.7,500.5,845.5,"1,087.3","1,064.5","1,074.9","1,084.0","1,100.3","1,113.6","1,131.8",1.8,2.4,4.3,6.6,6.1,6.3,6.4,6.6,6.7,6.9,7.1
    Asian ...................................,---,---,---,---,"1,029.8","1,010.3","1,022.9","1,034.8","1,053.2","1,067.5","1,087.1",---,---,---,---,5.8,5.9,6.1,6.3,6.5,6.6,6.8
    Pacific Islander ........................,---,---,---,---,57.5,54.1,52.1,49.2,47.1,46.1,44.7,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"  American Indian/Alaska 
     Native ...............",69.7,77.9,95.5,138.5,179.1,147.4,138.6,132.2,128.6,123.9,120.2,0.8,0.8,0.8,1.1,1.0,0.9,0.8,0.8,0.8,0.8,0.7
  Two or more races ........................,---,---,---,---,293.7,505.8,579.6,590.1,595.2,624.0,646.5,---,---,---,---,1.7,3.0,3.5,3.6,3.7,3.9,4.0
Nonresident alien\1\ .................................,143.2,209.9,218.7,288.0,398.4,483.6,529.3,565.1,570.2,574.1,566.6,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Male .....................................,"4,896.8","4,997.4","5,379.8","5,778.3","7,836.3","7,660.1","7,586.3","7,502.3","7,416.9","7,351.3","7,226.0",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White .................................................,"4,052.2","4,054.9","4,184.4","4,010.1","4,861.0","4,438.9","4,299.0","4,188.1","4,087.0","3,990.0","3,867.3",84.4,83.5,79.6,71.3,63.7,60.0,58.9,58.2,57.5,56.7,55.9
"  Total, selected 
     races/ethnicities ....",748.2,802.7,"1,069.3","1,618.0","2,773.8","2,962.7","3,000.4","3,007.0","3,020.2","3,051.8","3,056.3",15.6,16.5,20.4,28.7,36.3,40.0,41.1,41.8,42.5,43.3,44.1
    Black .............................................,430.7,428.2,448.0,577.0,982.9,955.3,924.9,888.4,849.4,831.7,800.5,9.0,8.8,8.5,10.3,12.9,12.9,12.7,12.3,12.0,11.8,11.6
    Hispanic ........................................,191.7,211.2,326.9,582.6,"1,082.9","1,224.1","1,261.8","1,298.3","1,343.5","1,378.5","1,402.7",4.0,4.3,6.2,10.4,14.2,16.5,17.3,18.0,18.9,19.6,20.3
    Asian/Pacific Islander ........................,91.1,128.5,254.5,401.9,513.4,507.5,511.7,515.0,520.6,525.3,531.5,1.9,2.6,4.8,7.1,6.7,6.9,7.0,7.2,7.3,7.5,7.7
      Asian ...................................,---,---,---,---,487.4,482.9,488.1,492.3,499.2,504.2,511.5,---,---,---,---,6.4,6.5,6.7,6.8,7.0,7.2,7.4
      Pacific Islander ........................,---,---,---,---,26.0,24.5,23.5,22.7,21.4,21.1,20.0,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    American Indian/Alaska 
       Native .............",34.8,34.8,39.9,56.4,72.3,59.4,56.1,53.2,51.5,49.1,47.1,0.7,0.7,0.8,1.0,0.9,0.8,0.8,0.7,0.7,0.7,0.7
    Two or more races ........................,---,---,---,---,122.3,216.6,245.9,252.1,255.2,267.2,274.6,---,---,---,---,1.6,2.9,3.4,3.5,3.6,3.8,4.0
  Nonresident alien\1\ .................................,96.4,139.8,126.1,150.2,201.5,258.5,286.8,307.2,309.6,309.4,302.5,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Female .....................................,"4,522.1","5,471.7","6,579.3","7,377.1","10,246.1","9,816.2","9,707.8","9,544.4","9,457.8","9,421.8","9,384.2",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White ............................................,"3,688.3","4,425.8","5,088.2","4,973.3","6,035.0","5,459.2","5,283.5","5,115.7","4,998.6","4,892.7","4,797.2",82.4,81.9,78.4,68.7,60.1,56.9,55.8,55.1,54.3,53.4,52.6
"  Total, selected 
     races/ethnicities ....",787.0,975.8,"1,398.5","2,266.0","4,014.3","4,131.8","4,181.9","4,170.8","4,198.7","4,264.3","4,322.8",17.6,18.1,21.6,31.3,39.9,43.1,44.2,44.9,45.7,46.6,47.4
    Black ............................................,512.7,590.6,699.2,971.9,"1,694.2","1,549.4","1,501.7","1,428.2","1,376.9","1,352.3","1,327.5",11.5,10.9,10.8,13.4,16.9,16.2,15.9,15.4,15.0,14.8,14.6
    Hispanic ........................................,161.2,221.8,397.6,768.4,"1,468.1","1,648.1","1,700.6","1,756.7","1,824.9","1,892.0","1,950.0",3.6,4.1,6.1,10.6,14.6,17.2,18.0,18.9,19.8,20.7,21.4
    Asian/Pacific Islander ........................,78.2,120.2,246.0,443.6,573.9,557.0,563.2,569.0,579.7,588.3,600.3,1.7,2.2,3.8,6.1,5.7,5.8,6.0,6.1,6.3,6.4,6.6
      Asian ...................................,---,---,---,---,542.4,527.4,534.7,542.5,554.0,563.3,575.7,---,---,---,---,5.4,5.5,5.6,5.8,6.0,6.2,6.3
      Pacific Islander ........................,---,---,---,---,31.5,29.6,28.5,26.5,25.7,25.0,24.7,---,---,---,---,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"    American Indian/Alaska 
       Native .............",34.9,43.1,55.5,82.1,106.8,88.0,82.6,79.1,77.1,74.8,73.1,0.8,0.8,0.9,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.8
    Two or more races ........................,---,---,---,---,171.3,289.2,333.7,337.9,340.0,356.9,372.0,---,---,---,---,1.7,3.0,3.5,3.6,3.7,3.9,4.1
  Nonresident alien\1\ .................................,46.8,70.1,92.6,137.8,196.9,225.1,242.5,257.9,260.5,264.7,264.2,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
"     Postbaccalaureate, 
        total .............","1,566.6","1,617.7","1,859.5","2,156.9","2,937.0","2,900.4","2,915.0","2,941.5","2,972.3","3,005.1","3,035.7",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
White ...............................................,"1,335.6","1,352.4","1,449.8","1,478.6","1,824.9","1,691.3","1,656.7","1,635.4","1,631.0","1,634.6","1,636.8",89.6,88.8,86.0,77.2,69.4,66.5,65.6,64.8,64.1,63.4,62.7
"Total, selected 
   races/ethnicities ......",155.5,170.3,237.0,437.5,802.8,852.5,869.7,888.9,913.3,944.6,973.5,10.4,11.2,14.0,22.8,30.6,33.5,34.4,35.2,35.9,36.6,37.3
  Black ................................................,89.7,87.9,99.8,181.4,361.9,367.3,366.2,364.5,363.0,365.5,365.4,6.0,5.8,5.9,9.5,13.8,14.4,14.5,14.4,14.3,14.2,14.0
  Hispanic ........................................,30.9,38.6,57.9,110.8,197.8,221.0,229.4,242.7,259.6,275.4,292.4,2.1,2.5,3.4,5.8,7.5,8.7,9.1,9.6,10.2,10.7,11.2
  Asian/Pacific Islander ........................,28.6,37.7,72.0,132.7,194.3,195.2,197.3,200.3,206.3,214.2,220.8,1.9,2.5,4.3,6.9,7.4,7.7,7.8,7.9,8.1,8.3,8.5
    Asian ...................................,---,---,---,---,187.8,188.4,190.9,194.3,200.3,208.2,215.0,---,---,---,---,7.1,7.4,7.6,7.7,7.9,8.1,8.2
    Pacific Islander ........................,---,---,---,---,6.5,6.8,6.4,6.1,6.1,5.9,5.8,---,---,---,---,0.2,0.3,0.3,0.2,0.2,0.2,0.2
"  American Indian/Alaska 
     Native ...............",6.4,6.0,7.3,12.6,17.1,14.8,14.3,13.9,13.7,13.6,13.6,0.4,0.4,0.4,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5
  Two or more races ........................,---,---,---,---,31.7,54.2,62.6,67.5,70.6,76.1,81.3,---,---,---,---,1.2,2.1,2.5,2.7,2.8,2.9,3.1
Nonresident alien\1\ .................................,75.5,95.1,172.7,240.7,309.3,356.5,388.5,417.2,428.0,425.9,425.4,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Male .....................................,897.6,870.7,904.2,943.5,"1,209.5","1,201.1","1,211.2","1,221.6","1,221.6","1,220.1","1,216.7",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White .................................................,761.6,718.1,676.6,624.5,744.9,693.5,675.2,660.3,649.0,642.1,633.2,90.7,89.8,86.3,78.4,72.2,69.4,68.3,67.4,66.5,65.7,64.9
"  Total, selected 
     races/ethnicities ....",78.4,81.7,107.4,171.9,286.5,306.0,313.0,319.8,326.5,335.7,343.0,9.3,10.2,13.7,21.6,27.8,30.6,31.7,32.6,33.5,34.3,35.1
    Black .............................................,39.2,35.5,36.7,58.3,106.1,109.6,110.2,110.5,110.0,110.3,109.2,4.7,4.4,4.7,7.3,10.3,11.0,11.1,11.3,11.3,11.3,11.2
    Hispanic ........................................,18.1,20.4,27.0,44.5,74.7,83.6,86.4,90.9,95.8,100.5,104.9,2.2,2.5,3.4,5.6,7.2,8.4,8.7,9.3,9.8,10.3,10.7
    Asian/Pacific Islander ........................,17.4,22.8,40.4,64.0,87.2,86.9,87.4,87.8,89.5,92.0,94.1,2.1,2.8,5.2,8.0,8.5,8.7,8.8,9.0,9.2,9.4,9.6
      Asian ...................................,---,---,---,---,84.7,84.2,84.9,85.5,87.2,89.8,91.9,---,---,---,---,8.2,8.4,8.6,8.7,8.9,9.2,9.4
      Pacific Islander ........................,---,---,---,---,2.5,2.7,2.5,2.3,2.3,2.2,2.2,---,---,---,---,0.2,0.3,0.3,0.2,0.2,0.2,0.2
"    American Indian/Alaska 
       Native .............",3.7,3.0,3.2,5.0,6.4,5.3,5.3,5.0,4.8,4.6,4.5,0.4,0.4,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5
    Two or more races ........................,---,---,---,---,12.0,20.6,23.7,25.5,26.5,28.3,30.2,---,---,---,---,1.2,2.1,2.4,2.6,2.7,2.9,3.1
  Nonresident alien\1\ .................................,57.7,71.0,120.2,147.1,178.2,201.6,223.0,241.4,246.0,242.2,240.5,†,†,†,†,†,†,†,†,†,†,†
,,,,,,,,,,,,,,,,,,,,,,
Female .....................................,669.1,747.0,955.4,"1,213.4","1,727.5","1,699.3","1,703.7","1,720.0","1,750.7","1,785.1","1,819.0",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  White ............................................,574.1,634.3,773.2,854.1,"1,080.0",997.8,981.5,975.0,982.0,992.5,"1,003.6",88.1,87.7,85.6,76.3,67.7,64.6,63.8,63.1,62.6,62.0,61.4
"  Total, selected 
     races/ethnicities ....",77.2,88.6,129.6,265.7,516.4,546.5,556.8,569.2,586.8,608.9,630.5,11.9,12.3,14.4,23.7,32.3,35.4,36.2,36.9,37.4,38.0,38.6
    Black ............................................,50.5,52.4,63.1,123.1,255.8,257.7,256.0,254.0,253.0,255.1,256.2,7.7,7.2,7.0,11.0,16.0,16.7,16.6,16.4,16.1,15.9,15.7
    Hispanic ........................................,12.8,18.3,30.9,66.3,123.1,137.4,143.1,151.8,163.8,174.9,187.4,2.0,2.5,3.4,5.9,7.7,8.9,9.3,9.8,10.4,10.9,11.5
    Asian/Pacific Islander ........................,11.2,15.0,31.5,68.7,107.0,108.3,109.9,112.5,116.9,122.1,126.7,1.7,2.1,3.5,6.1,6.7,7.0,7.1,7.3,7.5,7.6,7.8
      Asian ...................................,---,---,---,---,103.1,104.2,106.0,108.8,113.1,118.4,123.1,---,---,---,---,6.5,6.7,6.9,7.0,7.2,7.4,7.5
      Pacific Islander ........................,---,---,---,---,3.9,4.1,3.9,3.7,3.8,3.7,3.6,---,---,---,---,0.2,0.3,0.3,0.2,0.2,0.2,0.2
"    American Indian/Alaska 
       Native .............",2.7,3.0,4.1,7.6,10.7,9.5,9.0,8.9,8.9,9.0,9.0,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6
    Two or more races ........................,---,---,---,---,19.7,33.6,38.8,42.0,44.1,47.8,51.1,---,---,---,---,1.2,2.2,2.5,2.7,2.8,3.0,3.1
  Nonresident alien\1\ .................................,17.8,24.1,52.5,93.6,131.1,155.0,165.5,175.8,182.0,183.6,184.9,†,†,†,†,†,†,†,†,†,†,†
---Not available.,,,,,,,,,,,,,,,,,,,,,,
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,
\1\Race/ethnicity not collected.,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Race categories exclude persons of Hispanic ethnicity. Because of underreporting and nonreporting of racial/ethnic data, some figures are slightly lower than corresponding data in other tables. Data through 1990 are for institutions of higher education, while later data are for degree-granting institutions. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Higher Education General Information Survey (HEGIS), ""Fall Enrollment in Colleges and Universities"" surveys, 1976 and 1980; Integrated Postsecondary Education Data System (IPEDS), ""Fall Enrollment Survey"" (IPEDS-EF:90); and IPEDS Spring 2001 through Spring 2019, Fall Enrollment component. (This table was prepared September 2019.)",,,,,,,,,,,,,,,,,,,,,,
