,date,rating,body,review
10,2022-12-28,1.0,"vancouver delhi via london booked fly vancouver new delhi via london heathrow dec received email dec informing u industrial action uk called find may impact travel representative kind scared u possibly stranded travel offered u full refund called confirm option offer solution asked cancel ticket told u cancellation fee booked new ticket another airline double cost trip urgent simultaneously told u longer cancel ticket system promised u make happen told u would get full refund processed cancellation hour later emailed u ticket couldnt cancelled suggested cancel new ticket found another airline lost cancelling new ticket representative claimed never said wont service available asked u worrying industrial action ""arrangements"" made issue new information never given u kept british airway ticket next day asked speak manager report misguided whole situation never heard back manager logged checkin hour take found van lhr flight cancelled due bad weather vancouver receive email airport airline change called asked rearrangement flight offered rebooking additional per person price difference date offered day original flight supposed leave additionally cancel rest flight could reach since first flight cancelled pay cancellation fee get refund frustrated overall experience accommodation accountability wanted charge u service change possible phone hour flight could booked getting sold customer service person would take minute real search question option asked ha frustrating experience lost time money ruined holiday completely demanded speak manager want take accountability team gave u small discount cancellation fee total phone day back forth without resolution felt misguided misinformed unfair policy towards customer feel taken care pay price misinformation flight cancel trouble spent christmas without family missed urgent reason travelling",Bad
11,2022-12-24,8.0,old narrow pitch flight perfectly time constant announcement cockpit friendly staff free chip water quick luggage delivery,Good
12,2022-12-22,3.0,another shamble started well excellent check first mid afternoon avoided early morning evening scrum concorde lounge excellent service great choice cocktail wine etc food ok bit overcooked pretty reasonable called boarding gate chaos people jostling position get plane people child called people first bankrolling flight well get told none light first dimmed light night like detained interrogated excellent wine champagne selection dinner menu handed ill prawn cocktail start please wont theyve loaded one people guy got bet felt like hed lottery ok ill beef wellington basically freezing slice beef lettuce main ill curry wont theyve substituted christmas dinner im going maldives get away christmas ended short rib inedible salad starter water offered bread roll couldnt eat basically husband spent return seat blinded light left starving apology watch virgin start flying direct october always rest laurel treat customer like idiot,Bad
13,2022-12-20,1.0,cancelled flight home heathrow dec face sensible weather iceland appalling however acceptable flight cancelled hour take time time already struggling dreadful driving condition get airport got nowhere near condition became bad taken advice would spared everyone need try travel road ended closed booked onto flight downgraded sin checked today type cancelled flight despite road keflavik closed check thing help offered really,Bad
14,2022-12-19,1.0,cancelled flight home last flight day heathrow tried push onto another flight london city hour later car heathrow didnt want try cross london late night public transport luggage especially rail strike announced around time book flight home lufthansa cost economy seat least got home heathrow another terminal friday night could get home family still news refund month shame flying used pleasurable experience cancelled moved one leg every journey weve booked year regrettably use airline much better reliability customer service,Bad
15,2022-12-19,2.0,turned hour advance terminal london heathrow already carnage people trying check desk manned long queue security due line open people stressed pushing shouting flight delayed hour according pilot delay due suitcase needing loaded missed connecting flight doha hour wait til next one received voucher approx whole day arrived day later suitcase didnt arrive filed claim desk day update information offer compensation solution offer spoilt holiday many personal belonging gone xmas gift missing extensive expense dont know reimbursed beware expect low level zero customer service old plane zero help anything go wrong missing personally avoid future cost,Bad
16,2022-12-19,2.0,boarding gate lgw called group board world traveller plus group called anyone group whereupon everyone else surged forward numbered boarding group dont use cabin crew treated passenger inconvenience moved plane one point passenger coming toilet crew member approached crew member pushed door closed pushing back toilet went past without even word acknowledgement stood aside let past service final row six wt ha total seat lunch meal brought last people served unusual back row seat came u vegetarian option left menu option cabin steward said given wt meal second hot meal served landed server got u last vegetarian option left asked might possible commence serving second meal back front choice least one meal said hadnt thought food inedible vegetarian cannelloni pasta thick uncooked neither u could eat bread roll crispy like toast bottom half soft top half thing could eat baby bel meal snack consisted biscuit pack shortbread pretty basic drink ran red wine hour flight toilet toilet accessible directly wt section walk halfway plane economy reach shared toilet flew virgin atlantic month equivalent premium economy much better organised boarding sparkling wine orange boarding water orange food option available even last row seat better food proper glasses/cups drink dedicated toilet access help snack helpful service cabin crew looking fly virgin future,Bad
17,2022-12-17,5.0,missing baggage customer service worst ive ever experienced arrived back phoenix sunday evening air tag showed bag arrived monday took three day finally delivered understood due delay caused freezing fog london luggage make onto final flight filled required form phoenix airport attempted fill one online received message saying bag already reported missing enter tracking code sent via email email received made phone call daily told message sent hear back within hour finally email tracking number received tuesday night went online tracking number wednesday requested provide information given form airport luggage finally delivered thursday afternoon,Bad
18,2022-12-14,6.0,british airway flag carrier used checkin staff club europe area display premium service provide good overall service gallery south lounge busy food good good array salad pasta bread hot food available festive turkey ham pie particularly good flight delayed lhr busy tuesday evening boarding process stressful due lack queue management system majority passenger congregating around gate despite using group system board took almost board passenger flight good good club meal service bar service good seems done away champagne onboard also lounge menu handed prior departure good food offering length flight food good beef cheek served vegetable chosen always excelled catering ha changed seat standard economy seat table middle seat club europe standard practice seat comfortable limited leg room cabin clean presentable tidy issue featured wifi contains good landing page flight information access speedbird cafe menu access bacom good pricing strategy wither messaging streaming also overall airline still good world player clear improvement needed ground staff cabin manager good crew club display expected behaviour business class kept touching face making eye contact passenger seemed uninterested like want,Bad
19,2022-12-12,1.0,stupidly tried five year gap paid wife go barbados thought new business class layout might rival virgin atlantic route six month ago announced switching plane old antique pushmepullyou layout late reorganise holiday logistics sure enough suffered appallingly uncomfortable flight room eight seat across worn fitting inedible food surly fa,Bad
20,2022-12-12,8.0,seat horribly narrow thankfully flight quarter full able stretch food beverage service good great proper beer cup froth overflow cabin crew good booked ticket included travel qatar airway well,Good
21,2022-12-10,3.0,glasgow london delayed hour wife accept flight late delayed rarely time long accept wont disappointed planning ahead high risk delay connecting another airline oneworld extremely risky,Bad
22,2022-12-10,6.0,tried check online offered upgrade premium economy decided take website wouldnt allow choose seat check phoned happy call picked quickly told changed booking check airport turned three hour flight told two adjacent aisle seat economy switched middle seat row four premium checkin agent helpful couldnt fix suggested try desk airside desk understaffed reach front line told try boarding gate gate finally managed get one aisle seat one window sitting together going flight surprisingly good decent food good service flew back economy wasnt bad either flight attendant friendly enthusiastic emma daniel looked u could better ive obviously learned lesson late upgrade everything else good,Bad
23,2022-12-09,3.0,flew prague lhr excellent service attentive staff first drink service meal service choice three meal later second drink service reality excellent flight couple day later flew back lhr prague boarding lhr total chaos onboard service cannot really called service curtain business economy class later caused people endlessly passing get toilet meal service could get unprofessional row took two guy nearly min serve constantly interrupted people passing toilet time yet know meal choice one bother talking served afternoon tea consisting three canapeslike bite drink would bother serving also scone hardly min plate taken away asked scone came surprise served coordination crew crew busy chatting galley reality service could get worse one must ask pay premium price,Bad
24,2022-12-09,4.0,disappointing especially business service ancient one world lounge catastrophe heathrow business class seat similar economy electronics poor onboard,Bad
25,2022-12-08,3.0,outbound return flight offered decent meal received tiny bag chip small bottle water outraged u return flight couldnt even order food / drink card reader didnt function first last time well fly,Bad
26,2022-12-03,1.0,flying warsaw one day meeting would flying back miami next day initially flight delayed denver hour knew would miss connection warsaw denver heathrow flight terrible plane dirty economy usually fly business premium economy flight availability plane / full service good food inedible seat cramped although middle seat open made tolerable arrived heathrow complete circus passenger everywhere trying rebook missed connection flight multiple flight missed connection waiting line hour finally rebooked another flight warsaw plane smallest plane seen packed like sardine bag never showed cancel meeting bag fly back miami ha shown desire help give standard answer hopefully bag show miami point retrieve mean bag sitting heathrow somewhere different fight option get warsaw yet unwilling anything expedite getting bag warsaw leave miami next day,Bad
27,2022-11-30,9.0,booked holiday marrakech posting negative review regarding double tier point credit confirm point credited took eventually make good promise thank based thing resolved travelled since booked travel south africa first class january looking forward new concorde lounge keep loyalty indeed street,Good
28,2022-11-28,2.0,extremely subpar service highlight online meal selection staff pretty much dropped whatever meal rude passenger wanted changed last meal delayed last minute flight plate literally grabbed away hand unfinished plate staff dropped apology offer napkin scrounge piece paper clean jacket none passenger told straighten seat meal seat tilted could barely keep plate tray without thing slipping staff walked water biscuit got exhausted got looked walked away nothing offered,Bad
29,2022-11-26,7.0,virtually gave british airway three year ago writing avios opting airline return flight heathrow lisbon week good aircraft pretty much full service excellent food surprisingly good particular shoutout flight attendant called jo team back enthusiastic attentive im going start spending avios,Bad
30,2022-11-25,7.0,pleasantly surprised airline could maintain steady schedule little delay considering time year weather flight montreal return flight scotland originally booked fly toronto airline helped cancel rebooked cheaper flight inflight service pretty decent andthey offer blanket pillow well walk cabin offering drink handing small snack prior leading meal service food typical air plane food thoroughly enjoyed flight issue flight,Bad
31,2022-11-23,1.0,british airway late website atrocious wouldnt let checkin hour flight trying hour check website and/or find real person speak customer service thick accent didnt think speaking english,Bad
32,2022-11-19,4.0,flew amman london nov sure type aircraft wa ticket economy plus flight received exactly water potato chip seat recline entertainment system food drink purchased couldnt even get warm cup coffee tea third time flown recently unhappy time write review honestly never fly help,Bad
33,2022-11-19,1.0,worst experience ever airline flew british airline august one checked bag lost heathrow airport aware time system error baggage belt many traveler affected filed report missing bag day arrived lax airport august waited patiently three week time frame either find bag eligible compensation receive update lost bag filed claim compensation september since waiting response customer relation good sign resolving issue emailed tried update claim still response today contacted baggage team helpful ease prolonged waiting way contact customer relation via website theyre even getting back every time talk customer service agent tell wait waiting almost three month issue resolved yet whole experience hassle unprofessional renowned airline like,Bad
34,2022-11-18,2.0,flying lhr cpt november app website working properly would load ticket lhr smooth calm checking process quick boarding card would scan security gave one someone else different destination ran back checkin get correct one bag also tagged incorrectly disappeared someone ran find bag depth retag amazingly show cape town told main lounge open b c pier lounge turn false information b pier lounge open main lounge overcrowded worn arrived late gate train working biz class lane quick giant queue get plane one airbridge two seat comfy cabin clean sink taped waste working offered hand sanitiser instead disgusting imagine going bathroom able wash hand sink unbelievable dispatch plane condition food average wine served way late choice wine cold food eat food first matching wine come quarter hour later overall experience / flew air france fortalaza cdg lhr two week earlier way better embarrassing,Bad
35,2022-11-07,1.0,worst experience ever outbound flight cancelled notified rebooked uncomfortable trip inbound flight delayed hour also notified top boarded hand luggage bag extra wait milan food horrible,Bad
36,2022-11-07,5.0,check shamble bwi counter open full flight bag drop queue even longer regular checkin queue boarding done zone carried reasonably well board fa fine engaging outbound flight iad aircraft cramped seat economy horrible seated aisle seat row f entertainment box taking third legroom overall cramped seat poor legroom awful ife screen meal mediocre bar service meal time lading served hot sandwich oozing cheese wrapper pleasant handle tasted good plane landed remote stand meant bussed since raining nice experience overall rate mediocre journey,Bad
37,2022-11-05,1.0,beyond disgusted fact baggage ha yet delivered week email call two piece reported september response generic non specific attempt speak customer service worker obstructed airline touting value claiming yo one best world disgraceful doe fully describe customer service,Bad
38,2022-10-31,1.0,july submitted complaint form regard fact misplaced luggage wedding trip italy weve lost day incurred additional expense retrieving provided copy receipt requested expense reimbursed agreed sent requested information told week receiving month later british airway ha processed reimbursement stopped answering followup matter,Bad
39,2022-10-31,1.0,booked flight oct cancel flight day learning cant get entry visa time flight receive confirmation email say flight canceled cancellation email booking reference number different one requested cancellation canceled another person flight sent confirmation email assumed flight canceled week still received refund reached turned flight still getting even ridiculous try reach tried multiple different way phone call email none able investigate actually happened ha authority help cancel flight without paying penalty based experience one read email carefully matter much context put given experienced zero faith british airway,Bad
40,2022-10-31,6.0,london gibraltar october booked flight several month ahead travel rather disappointed experience attempt nickle dime customer outrageous seat selection price offering small bottle water nutribar breakfast one gain impression aim positioned late ha inflight entertainment route map staff disappeared flight flight punctual felt cheated whelmed experience,Bad
41,2022-10-30,1.0,ive generally loyal gold status flyer fly route im recent flight nairobi abysmal get departed continuous delay finally left hour late ideal youve got flight staff informed u virtually took meal drink service would started completed asap needed get rest hour delayed couldnt get away quickly enough basically last saw came around hour landing sincerely hope enjoyed rest pay full fare business class service actually expect service extremely miserable clearly didnt want board still waiting pay compensation ha awarded u official ombudsman july cancellation flight miami march cancelled pm flight,Bad
42,2022-10-30,9.0,great flight suite aircraft really provide maximum comfort british ha returned full service meal coursed menu hot towel providedetc food quite good choice provided meal service ok prefer person serving rather hodge pudge thats preference entertainment good connectivity real complaint except minor one tray table seemed far eating closest position actually felt like true business class qatar standard thats another story,Good
43,2022-10-30,9.0,happy say flight quite good except second rate euro business seating everything well done friendly informative cabin crew served good hot breakfast communicative folk nervous heathrow transit well done unfortunately bus gate used upon arrival,Good
44,2022-10-25,3.0,year ago flying enjoyable time changed day five hour board plane fun terminal experience still feel classy way felt well staffed efficient board though become experience endured ba mean decision split seat nicer first half plane nastier rest underline entertainment magazine refreshment purchase brought seat ordering app attempt provide fresh hot food day despite competition able much ask trapped board five hour get free tiny bottle water small cereal bar outbound flight crew collected rubbish landing helpfully tied bag around toilet door back case anyone wanted fight way past clear thing recline button deleted seat seat pitch feel squeezed return flight one reason another due ba delay previous day two hour late getting plane late evening passenger couldnt travel enough crew cabin crew nonetheless distinctly professional flight altogether would say good thing hard think anything could recommend pity used professional company deal pleasure worth looking forward making european journey,Bad
45,2022-10-24,9.0,positive experience seat new style club seat comfortable sleep food fine outstanding wifi good video screen large bright baggage came quickly heathrow experience return flight atlanta would fly would probably want make sure new seat,Good
46,2022-10-23,2.0,baby across aisle cried nonstop crew yakked galley long flight possibility sleep even rest mentioning crew member colleague talking loudly made difference second meal something inedible way get simple bag crisp nut instead assortment dried something baggage took / hour delivered priority club even first passenger kept waiting many economy bag delivered great aircraft seating still tired old yin/yang configuration people stuck middle seat probably anyone expecting business class day,Bad
47,2022-10-22,8.0,evening flight lhr iad check poor kiosk dont work well staff called boarding poorly managed ground staff overwhelmed full flight struggling manage passenger gate small insufficient seating big aircraft flight full left minute late pilot kept u informed issue airborne service started quite quickly cabin crew pleasant helpful job professionally efficiently answered call bell promptly nothing much trouble started bar service generous drink came meal service food good ife old clunky sufficient movie tv programme hour flight seat comfortable legroom tight uneventful journey would give thumb ground service need attention,Good
48,2022-10-22,1.0,boarded flight edinburgh london connecting flight san francisco october lot america heading back america scotland open golf st andrew woman counter rude actually embarrassed british time shouting snapping people real horrible way flight london san francisco prior hour check spent reserve two seat life time holiday america boarded evident seat sitting broken recliner button working pushed frame arm rest asked flight attendant time anything could done also rude seemed uninterested fact going sit hour flight seat wouldnt recline eventually got flight state would report fault find multiple seat economy seating area also broken attitude british airway staff ha absolutely horrendous getting flight decided make complaint british airway bearing mind paid privilege picking seat asked refund cost booking seat prior hour check told dont refund paid product broken met nothing rude staff telling cant refund cost booking seat email customer team still refusing also refusing tell whether fault reported prior sitting seat offered voucher declined basis picked seat example hadnt payed seat prior hour check voucher would ok spent money select seat broken experience using rude unhelpful staff chose another carrier future im actually ashamed treat people way national airline great britain,Bad
49,2022-10-21,3.0,entering aircraft rushed smooth boarding people struggling cabin luggage finding seat heating high suffocating got faint due heat cabin crew helping thanks helped time called cabin crew ask water took half hour response,Bad
50,2022-10-17,7.0,lhrlax prefer boeing seat dont seem cramped checkin easy kiosk bag drop security heathrow whole story security escalator stair elevator escalator get gate seating escalator finally jet bridge plane heathrow many time never anyway cabin crew pleasant drink meal service fine day flight real sleeping passenger moving around flight entertainment system good decent option occupied time several movie nice landing lax fine,Bad
51,2022-10-17,8.0,flew back uk miami new club world suite huge improvement elderly yin yang style club world boarding easy took / hour late due delayed incoming aircraft made time way back landed time comfortable suite plenty storage bit piece bedding large pillow supplied attentive fa especially anna addressed name however let average catering good short rib beef underwhelming salmon wife sadly poor choice film ife let excellent touch screen refused pay ba extortionate prepay book seat fee still got seat together cmon pay enough already travel club class recommend ba new club class travel way afford future,Good
52,2022-10-17,9.0,flew hand baggage security dubai quick entered lounge bit small good drink offering sound flight left time technical issue ife would really irritating day flight decent snack slept well arrival lounge excellent would recommend,Good
53,2022-10-16,1.0,london cairo first hour mid morning flight complimentary food drink tiny bag pretzel small bottle water even southwest generous unable connect phone order food hit fa call button response hour fa came collect garbage show call light gruffly asked matter used phone place order,Bad
54,2022-10-15,10.0,review specifically maddie crew member took care u attentive warm friendly nothing much trouble smiling start finish brand ambassador,Good
55,2022-10-14,3.0,hour cramped single aisle aircraft inflight entertainment economy free catering bottle water packet crisp minimal selection food item purchase,Bad
56,2022-10-06,6.0,dfwlhr easy transfer dfw american airline british airway heading london first ride left feeling plane type wont ever first choice wa seated upstairs cabin space seemed roomy seat row cramped passenger front reclined back seat inch face real difficult time trying view seat back entertainment screen seat wasnt bad felt squished locked plus side window seat gave nice storage area side ground staff pleasant cabin crew really nice plenty beverage offered multiple water run made night dinner rubbish morning prelanding snack entertainment system responsive pretty good selection movie tv music game ok experience get london time baggage arrived safely im sold lhr another story different review mess place,Bad
57,2022-10-01,7.0,check jersey straightforward small business class lounge jersey reasonable drink range limited food flight boarded time take delayed due poor visibility lhr captain kept u well informed eventually took min behind schedule minute late arrival heathrow good service cabin crew bacon roll coffee served disappointing wait case heathrow long flight,Bad
58,2022-10-01,8.0,check lhr quick queue security short used south lounge supposed quieter time busy difficult group get seated together flight boarded time whilst short flight min service cabin crew outstanding glass champagne coronation chicken salad coffee served smile little banter spite issue cabin crew usually exceptional exception flight landed time bag delivered quite promptly,Good
59,2022-09-25,3.0,checkin process smooth got access iga lounge nice nice ha turkish airline lounge board flight first time flying intraeuropean business class though well prepared still found underwhelming first seat normal economy seat middle seat blocked personal ife basically entertainment flight meal service slow time reached half business class cabin one choice ran plus meal good economy meal got turkish airline flight day ago could see staff best since business class passenger single aisle aircraft small galley much could also passenger shared one single wc meaning long line bath room something rarely seen business class arrived lhr get contact gate thing bus either crew announced idea bus would come finally came course delay airport airline since main operator heathrow thing affect reputation,Bad
60,2022-09-25,9.0,first time flying ba new club suite opinion good flight u including mine departed concourse c terminal many shopping dining option however quiet finding seating quite easy highlight club suite spacious provides great deal privacy meal service slow everything served one tray think time begin get back prepandemic standard least food tasted good something previously experienced flight even first class,Good
61,2022-09-24,1.0,"flight conference june cancelled le notice without given alternative flight rebook upon alternative flight upon calling customer service customer service said get flight day later work miss day conference asked travel different airport sweden stockholm reluctantly agreed given choice pay domestic flight upon reaching gothenburg airport day departure saw direct flight heathrow called customer service told seat available changed gothenburg heathrow jersey however point told pay fee gbp ""changed flight time"" find disgrace charge fee change flight cancelled unable give alternative option reach destination conference proposed travel another airport sweden expense since contacted legal compensation im entitled according uk law got rejection claim arranged travel destination choice never travel awful customer service complete lack understanding customer need",Bad
62,2022-09-23,10.0,would like thank air cabin crew best experience long journey dont know manage keep smiling couldnt fault anything helpful reassuring excellent food cant wait fly thank really appreciated,Good
63,2022-09-20,10.0,british airway personnel magnificent flight london delayed security long line ran like madman find gate closed plane still lady gate worked computer mile hour allow board software program already closed flight manager came towards gate urging make decision since plane loose take spot line sweating run still breath handed passport giving green light board bolted plane feeling bad personally thank magic really hope get recognized british airway performance thank,Good
64,2022-09-16,4.0,good flight apart seat fabric coming apart lack good leg room meal good singapore snack board neighbour passenger charger headphone socket didnt work,Bad
65,2022-09-14,5.0,flight hour late leaving gate crew friendly seat comfortable complimentary snack provided bag ready salted crisp,Bad
66,2022-09-11,1.0,london istanbul british airway business class row comprise three seat middle seat empty front row considered business class short leg space pillow blanket horrible inflight service staff harassing curtesy business class checkin waiting flight,Bad
67,2022-09-10,2.0,london manchester british airway probably worst air company ever flown took hour unload luggage flight delayed hour staff help frankly rude,Bad
68,2022-09-07,2.0,"flight cancelled last minute due ""weather"" despite pretty much flight affected booked onto flight next day arrived airport hour ahead horrendous checkin security delay meant almost missed new flight flight fine got damage done",Bad
69,2022-09-07,7.0,good experience past feel write positive review well deserved first improvement lounge gatwick massive buffet joy flew flight operated iberia express wonderful staff food exceptional whoever brought change food supplier congratulation also may add time business class row like last time row definitely big improvement could felt much attentive service still clear luggage labelled priority luggage certainly doe come first destination airport,Bad
70,2022-09-06,1.0,"review booking system flight today clicked wrong date line mistake expect pay fee go ""cancel booking"" click option receive voucher immediately received response saying voucher way call speak gentleman continuously spoke would listen concern eventually give want book new flight obviously much higher price using voucher didnt want however surprise unable use voucher cant tell receive point future cant say money rebook full cost end order get phone hung",Bad
71,2022-08-31,4.0,manchester seattle via london never fly cancelled return flight heathrow back manchester cancelled alternative offered get son come way london pick u take u car manchester food terrible return journey soon finished serving round taking tray could settle night flying,Bad
72,2022-08-28,1.0,flight march san francisco london march cancelled hour notice found shuttle bus airport stay overnight next day flight still recompensed expense filled line received reply followup usual min longer time wait customer service picking trip reschedule return flight wife ill problem flight rebookable given voucher voucher bookable phone phoned rebook got automated voice saying taking flight booking phone see problem use voucher must phone taking phone booking offered another voucher time use ha passed must great business print endless voucher return money paid service rendered returned home aer lingus drama,Bad
73,2022-08-23,10.0,sat seat cabin crew lady called gina went beyond keep customer happy greeted u boarded cheery smile engaged two family travelling young child gave game book trolley service excellent took great care time quick chat think said half german half bulgarian really lovely young lady credit british airway,Good
74,2022-08-23,9.0,full afternoon flight ready fly time arrived early uneventful flight good service pre dinner drink drink meal coffee drink available back avml meal tasty hard working crew full flight audio worked well,Good
75,2022-08-22,1.0,told id require hr negative covid test entry philippine booked trip via bacom transfer singapore delay transfer next day okay bothered hr negative covid test try check changi airport philippine airline check staff require hr negative covid test rush different terminal get tested wait result rush back check gate closed book extra night singapore hotel book flight manila also return journey back london one miss one leg booked flight remaining flight get cancelled discovered oman air business class better british airway treating customer quality service business class experience,Bad
76,2022-08-21,1.0,promised help find hotel room outgoing flight heathrow running late hotel would closed boarded plane basis subsequently dumped barcelona airport sleep night floor help find hotel cant walk without help nothing partner iberia nothing kind people helped secure area toilet got sandwich lost holiday hotel booking music course insist fault hotel closing would got plane known found could go arbitration say withdraw offer expense policy refusing compensation would dreadful experience passenger bad enough someone mobile seems ditched specific responsibility duty care towards disabled passenger people disability worth risk travelling,Bad
77,2022-08-20,1.0,business class customer british airway cancelled return flight chose alternative flight stop complained changed date told date would work attempted charge additional change submitted complaint heard anything try reach chance,Bad
78,2022-08-15,10.0,barbara collins super helpful boyfriend booked flight separately thinking one found check separate slightly later one barbara able make change ensure flew together even managed put u sitting together much appreciate terrific flight food drink nibble great staff friendly looking forward returning home,Good
79,2022-08-10,10.0,husband parent traveling back ny naples italy stopover heathrow london let say happy arrived late london missed connecting flight back ny reason writing review great customer service kashmir dhami gave u helpful booking four u flight next day hard different booking made difficult got done kind amazing job,Good
80,2022-08-04,1.0,recommendation son young family child baby month wife flew usa cape town leaving yesterday evening got call arrival heathrow shocked told u cabin service provided especially wife used many time year year business flight rsa recommendation use holiday grandson coughing fit asked bell push time glass water ignored last one told wait till drink served evening meal served food available year old preordered online said nothing available son explained preordered cabin staff supervisor response prove sir sealed u thats response whats seen cattle class permeate normal travel class next booking alternate,Bad
81,2022-07-31,8.0,nice flight pushedoff exactly time cabin crew efficient thing friendly part well dinner hot complimentary wine served premium economy good avoid middle seat though even premium economy issue indifferent/nonhelpful call center refused honor one world status select seat choice advance nice start week trip england,Good
82,2022-07-30,1.0,holiday ruined suitcase lost flight travelled london heathrow amsterdam brother boarding told couldnt take cabin suitcase u cabin sent cargo arrival amsterdam one suitcase missing left london heathrow fill report amsterdam day ago still dont suitcase information today travelled amsterdam london city airport didnt allow board cabin suitcase arrived london suitcase missing left amsterdam suitcase different flight theyve ruined holiday compensation date get property back information lie lie told could complain online buy thing need shoe toiletry clothes might receive money back day yes might,Bad
83,2022-07-27,1.0,despite ba promise credit double tier point holiday booked website received additional point four email communication including chief executive remained unanswered taken marketing con want book holiday follow promise thing change,Bad
84,2022-07-27,2.0,refund process non responsive following refund since october month contacted customer service deck sent mail email protected several time tell processed british airway customer service bad need worked till today received refund wondering happening,Bad
85,2022-07-27,2.0,customer service nonexistent week customer service number message said call back couple week nothing needed accomplish could done bacom flying nairobi bring sister back husband died suddenly sister husband ticket july nairobi jfk received death certificate cancelled sister ticket twice took almost week correct incompetence niece wife phone hour plus hold time time told web help number would get return call one ever called back ticket premium economy tried upgrade broken hearted sister price plus service fee efficiency empathy decency addition stress losing husband sister go totally unnecessary stress ticket day flight also made reservation given price within second told increase british airway ha taken nosedive opinion word simply dont convey deep frustration disappointment company,Bad
