State_Number,State,Year,GDP,GDP_mining,Mining,GDP_agriculture,Agriculture,GDP_construction,Construction,GDP_manufacturing,Manufacturing,PCE,Personal Income,High School,Bachelor's,Poverty Rate
2,Arkansas,2017,113885.2,5413.5,4.7535,3879.5,3.4065,3731.6,3.28,16758.6,14.7,97935.1,42056,86.7,23.4,16.3
2,Arkansas,2018,115937.6,5182.0,4.4696,3795.4,3.2737,3673.3,3.17,17623.4,15.2,101726.6,43655,87.2,23.3,16.8
2,Arkansas,2019,116790.9,3812.4,3.2643,2548.7,2.1822,3705.3,3.17,18129.6,15.5,104429.5,45025,87.5,23.3,16.0
2,Arkansas,2020,114943.5,3749.8,3.2623,2557.4,2.2249,3701.3,3.22,17688.2,15.4,104488.8,47499,88.2,24.9,15.2
3,Alabama,2005,184369.5,7458.8,4.0456,3806.4,2.0646,9310.7,5.05,31186.5,16.9,115868.6,29949,79.9,20.9,16.9
3,Alabama,2006,187270.8,6772.3,3.6163,3156.4,1.6855,9351.3,4.99,32490.6,17.3,121798.9,31474,80.1,21.1,16.6
3,Alabama,2007,189002.5,6354.5,3.3621,2308.3,1.2213,9564.7,5.06,31978.6,16.9,127522.3,32739,80.4,21.4,16.6
3,Alabama,2008,186946.7,5748.8,3.0751,2203.5,1.1787,8680.8,4.64,31893.5,17.1,130497.7,33583,81.9,22.0,15.9
3,Alabama,2009,180707.2,6225.9,3.4453,2766.9,1.5312,7561.5,4.18,27173.4,15.0,128675.8,32769,82.1,22.0,17.5
3,Alabama,2010,184702.4,5571.7,3.0166,2410.8,1.3052,7110.4,3.85,29316.1,15.9,132956.3,33946,82.1,21.9,18.9
3,Alabama,2011,187605.8,4411.5,2.3515,1608.8,0.8575,6809.5,3.63,32281.1,17.2,137347.4,35010,82.7,22.3,19.1
3,Alabama,2012,189245.5,4695.2,2.4810,1788.8,0.9452,6897.6,3.64,32058.7,16.9,140347.7,35824,84.0,23.3,19.0
3,Alabama,2013,191369.8,5792.7,3.0270,2986.4,1.5605,6649.3,3.47,33814.1,17.7,144027.9,36014,84.5,23.5,18.9
3,Alabama,2014,189886.3,5027.1,2.6474,2590.7,1.3643,6363.2,3.35,32769.8,17.3,148689.4,37055,84.7,23.5,19.2
3,Alabama,2015,191335.2,5568.1,2.9101,3185.3,1.6648,6335.0,3.31,32209.5,16.8,152755.9,38531,84.9,24.2,18.5
3,Alabama,2016,194283.8,5054.4,2.6016,2781.6,1.4317,6643.8,3.42,33469.7,17.2,157119.9,39014,85.1,24.7,17.2
3,Alabama,2017,197566.6,6022.0,3.0481,3069.6,1.5537,6831.7,3.46,34361.7,17.4,163367.8,40252,86.5,25.5,16.9
3,Alabama,2018,200800.9,5965.2,2.9707,3230.1,1.6086,7088.9,3.53,35412.9,17.6,170857.1,41607,86.6,25.5,16.8
3,Alabama,2019,203383.9,5252.8,2.5827,2663.3,1.3095,7507.7,3.69,35313.3,17.4,177751.0,43157,87.1,26.3,15.6
3,Alabama,2020,196906.1,4525.5,2.2983,2020.1,1.0259,7411.9,3.76,34674.5,17.6,176479.8,45524,88.0,27.8,14.9
4,Florida,2005,815755.8,11038.2,1.3531,8885.0,1.0892,66723.0,8.18,37648.5,4.6,557249.0,35999,84.3,25.2,12.8
4,Florida,2006,839963.8,11588.6,1.3797,9468.7,1.1273,66870.9,7.96,41170.3,4.9,601391.8,38386,84.5,25.3,12.6
4,Florida,2007,850048.6,9851.7,1.1590,7619.3,0.8963,59621.2,7.01,44440.4,5.2,630844.7,39594,84.9,25.8,12.1
4,Florida,2008,816070.2,9221.9,1.1300,6784.6,0.8314,45933.5,5.63,42289.3,5.2,640082.4,39401,85.2,25.8,13.3
4,Florida,2009,769061.1,9431.4,1.2264,8022.9,1.0432,34556.5,4.49,38646.4,5.0,621753.2,36818,85.3,25.3,15.0
4,Florida,2010,775039.5,9136.2,1.1788,7892.0,1.0183,35139.8,4.53,38274.7,4.9,644318.9,38872,85.5,25.8,16.5
4,Florida,2011,772021.3,7949.8,1.0297,6225.6,0.8064,34075.7,4.41,37908.8,4.9,675005.8,40517,85.9,25.8,17.0
4,Florida,2012,778545.1,8402.3,1.0792,6606.9,0.8486,29263.5,3.76,36850.8,4.7,700219.1,41540,86.5,26.8,17.2
4,Florida,2013,794842.2,7964.2,1.0020,6136.8,0.7721,26596.4,3.35,39904.2,5.0,722610.0,41162,86.8,27.2,17.1
4,Florida,2014,817233.6,7962.2,0.9743,6534.8,0.7996,30315.0,3.71,42285.5,5.2,762704.3,43516,87.2,27.3,16.6
4,Florida,2015,852242.4,9294.9,1.0906,7998.1,0.9385,33990.0,3.99,46440.3,5.4,803038.6,45659,87.6,28.4,15.8
4,Florida,2016,881539.2,9607.4,1.0898,8088.4,0.9175,38309.0,4.35,47768.7,5.4,836468.9,46454,87.4,28.6,14.8
4,Florida,2017,912966.2,9711.7,1.0638,8125.0,0.8900,41365.1,4.53,49424.5,5.4,874325.3,49020,88.4,29.7,14.1
4,Florida,2018,943463.4,9558.6,1.0131,7934.4,0.8410,44561.2,4.72,50746.8,5.4,927049.5,51444,88.5,30.4,13.7
4,Florida,2019,971619.2,8986.9,0.9249,7446.4,0.7664,45457.7,4.68,52787.1,5.4,966942.8,53375,88.4,30.7,12.7
4,Florida,2020,944000.8,9986.1,1.0578,8499.7,0.9004,45434.2,4.81,51863.1,5.5,947905.9,56096,89.6,33.7,12.4
5,Georgia,2005,447152.9,4929.1,1.1023,5239.7,1.1718,25453.1,5.69,53341.6,11.9,247108.9,33445,82.1,26.4,14.3
5,Georgia,2006,453032.1,4545.2,1.0033,4723.4,1.0426,24386.0,5.38,52820.1,11.7,262158.8,34791,82.2,26.6,14.5
5,Georgia,2007,455904.0,5015.3,1.1001,4198.7,0.9210,22982.3,5.04,54219.7,11.9,275892.1,35680,82.9,27.1,14.8
5,Georgia,2008,445764.6,5011.9,1.1243,4445.6,0.9973,19323.1,4.33,50798.6,11.4,281234.7,35438,83.9,27.5,14.3
5,Georgia,2009,428740.7,4674.1,1.0902,5173.1,1.2066,15408.4,3.59,46663.3,10.9,273949.3,34274,83.9,27.5,14.7
5,Georgia,2010,433727.2,4304.2,0.9924,3965.0,0.9142,14875.3,3.43,47603.7,11.0,283499.5,34829,84.3,27.3,16.6
5,Georgia,2011,441626.7,4529.9,1.0257,3517.8,0.7966,14231.3,3.22,49431.0,11.2,296427.3,36842,84.3,27.6,18.0
5,Georgia,2012,447764.7,5142.3,1.1484,4176.9,0.9328,13501.0,3.02,48492.8,10.8,306379.2,37495,85.0,28.2,19.2
5,Georgia,2013,454909.0,5339.8,1.1738,4220.9,0.9278,12987.6,2.85,49106.5,10.8,317225.2,37794,85.5,28.3,19.2
5,Georgia,2014,470009.8,4762.4,1.0133,3905.2,0.8309,14685.6,3.12,50487.8,10.7,333460.4,39969,85.6,29.1,19.0
5,Georgia,2015,489182.4,5292.1,1.0818,5271.6,1.0776,17110.8,3.50,51291.0,10.5,346913.3,41941,86.1,29.9,18.4
5,Georgia,2016,506816.2,4738.9,0.9350,5102.6,1.0068,18788.9,3.71,53505.8,10.6,361907.9,43033,86.4,30.5,17.2
5,Georgia,2017,524874.7,5589.8,1.0650,5469.9,1.0421,19927.7,3.80,55223.9,10.5,380377.6,44996,87.0,30.9,16.1
5,Georgia,2018,539300.3,5426.8,1.0063,5396.9,1.0007,21162.2,3.92,54404.1,10.1,400690.3,46824,87.6,31.9,15.1
5,Georgia,2019,558277.3,4941.8,0.8852,4645.9,0.8322,21867.2,3.92,54147.0,9.7,416542.5,48697,87.9,32.5,14.5
5,Georgia,2020,536693.0,4851.4,0.9039,4952.7,0.9228,21421.6,3.99,49681.8,9.3,408752.8,51704,89.3,34.8,13.5
6,Idaho,2005,56043.0,4443.4,7.9286,3375.4,6.0229,3765.7,6.72,5897.7,10.5,35200.0,29392,87.1,23.0,13.2
6,Idaho,2006,57613.7,4489.2,7.7919,3633.7,6.3070,4087.5,7.09,5301.8,9.2,38292.9,31476,87.3,23.3,13.4
6,Idaho,2007,58670.9,4398.0,7.4961,3574.6,6.0926,4277.9,7.29,5365.9,9.1,40798.0,32707,88.4,24.5,12.8
6,Idaho,2008,60309.5,4707.5,7.8056,3590.7,5.9538,3586.3,5.95,6427.5,10.7,41833.6,32841,87.9,24.0,12.1
6,Idaho,2009,57327.9,4380.9,7.6418,3368.0,5.8750,2863.1,4.99,6241.1,10.9,40684.4,31281,88.4,23.9,12.5
6,Idaho,2010,58281.8,4822.2,8.2739,3494.4,5.9957,2541.1,4.36,6720.1,11.5,42105.0,32097,88.3,24.4,14.4
6,Idaho,2011,58226.2,4797.7,8.2398,3505.1,6.0198,2420.4,4.16,6880.8,11.8,43810.2,33579,88.6,25.2,15.8
6,Idaho,2012,58323.9,4158.7,7.1304,3427.8,5.8772,2525.9,4.33,7003.2,12.0,45175.3,35110,89.8,25.5,16.5
6,Idaho,2013,60631.2,4829.4,7.9652,3662.3,6.0403,2786.1,4.60,6907.0,11.4,46862.6,36095,89.4,26.2,16.0
6,Idaho,2014,62454.0,5764.1,9.2294,4159.0,6.6593,2818.7,4.51,7058.6,11.3,49025.6,37680,90.1,25.0,15.6
6,Idaho,2015,63081.2,5521.2,8.7525,4453.7,7.0603,2843.8,4.51,6785.3,10.8,51075.7,39386,90.0,26.0,14.8
6,Idaho,2016,65479.0,6251.5,9.5473,4981.1,7.6072,2896.4,4.42,6997.3,10.7,53704.8,40098,90.4,27.6,14.7
6,Idaho,2017,66980.5,4828.3,7.2085,4291.7,6.4074,2976.9,4.44,7346.2,11.0,57319.8,41560,90.8,26.8,13.8
6,Idaho,2018,71075.4,5429.1,7.6385,4937.5,6.9468,3027.6,4.26,8234.2,11.6,61376.3,43356,90.9,27.7,12.6
6,Idaho,2019,73912.0,5593.7,7.5681,5218.2,7.0600,3260.1,4.41,8456.4,11.4,63986.3,45261,91.5,28.7,11.7
6,Idaho,2020,73655.4,6281.2,8.5278,5732.6,7.7830,3345.7,4.54,8454.7,11.5,64780.6,48208,91.3,30.9,11.0
7,Indiana,2005,290328.2,4918.3,1.6940,3314.7,1.1417,13617.1,4.69,79581.0,27.4,169376.6,31566,84.1,21.3,12.2
7,Indiana,2006,296112.7,5527.3,1.8666,3936.8,1.3295,12707.1,4.29,79621.4,26.9,176438.6,33123,85.2,21.7,12.5
7,Indiana,2007,304085.7,5519.0,1.8149,3895.3,1.2810,12730.6,4.19,91671.4,30.1,183072.2,34055,85.8,22.1,12.3
7,Indiana,2008,300962.6,6385.2,2.1216,4895.9,1.6267,11930.3,3.96,90200.7,30.0,188064.5,35408,86.2,22.9,12.9
7,Indiana,2009,279520.8,6519.4,2.3323,4920.2,1.7602,10022.9,3.59,74414.9,26.6,185799.3,34267,86.6,22.5,14.4
7,Indiana,2010,297517.4,6078.0,2.0429,4429.5,1.4888,9895.7,3.33,88264.2,29.7,191184.5,35695,87.0,22.7,15.3
7,Indiana,2011,299064.6,6468.5,2.1629,4797.7,1.6042,10635.7,3.56,86596.3,29.0,198958.0,37799,87.3,23.0,15.8
7,Indiana,2012,300513.9,5787.5,1.9259,4102.9,1.3653,11941.0,3.97,82808.0,27.6,206023.2,39433,87.6,23.4,15.5
7,Indiana,2013,307279.2,9006.9,2.9312,7059.5,2.2974,11471.2,3.73,88099.5,28.7,211005.9,39766,87.6,23.8,15.8
7,Indiana,2014,316783.1,7521.1,2.3742,5706.3,1.8013,10832.0,3.42,91339.7,28.8,217888.8,41188,88.4,24.7,15.2
7,Indiana,2015,313751.2,6394.0,2.0379,4697.5,1.4972,10908.4,3.48,85776.4,27.3,222911.7,42667,88.2,24.9,14.4
7,Indiana,2016,319601.5,7100.7,2.2217,5451.9,1.7058,11388.7,3.56,87679.1,27.4,230341.9,43645,88.4,25.6,14.0
7,Indiana,2017,325841.8,7049.1,2.1634,5310.0,1.6296,12188.3,3.74,88676.1,27.2,242291.0,45116,88.6,26.8,13.3
7,Indiana,2018,337149.7,7196.2,2.1344,5663.0,1.6797,12484.0,3.70,92681.8,27.5,253792.5,47100,89.0,27.1,13.0
7,Indiana,2019,338350.1,5748.1,1.6989,4361.5,1.2890,12754.7,3.77,92003.9,27.2,260120.0,48757,89.6,26.9,11.9
7,Indiana,2020,329863.3,7704.1,2.3355,4572.0,1.3860,12520.8,3.80,90345.6,27.4,257343.1,51691,90.2,28.9,11.6
8,Kansas,2005,123949.8,6659.6,5.3728,5002.0,4.0355,5213.1,4.21,18781.5,15.2,76698.5,32545,88.2,28.4,11.7
8,Kansas,2006,130364.5,6367.3,4.8842,4237.6,3.2506,5009.6,3.84,22000.4,16.9,81548.8,35690,88.5,28.6,12.2
8,Kansas,2007,137093.6,6382.1,4.6553,4185.3,3.0529,5041.9,3.68,24640.4,18.0,86072.7,38057,89.1,28.8,11.2
8,Kansas,2008,139536.8,6901.5,4.9460,4783.3,3.4280,5070.5,3.63,22856.0,16.4,88917.5,41257,89.5,29.6,11.3
8,Kansas,2009,134227.1,8494.6,6.3285,6261.3,4.6647,4779.3,3.56,19014.1,14.2,87037.5,39431,89.7,29.5,13.2
8,Kansas,2010,135723.2,8160.0,6.0122,6206.4,4.5729,4776.7,3.52,21532.3,15.9,89314.1,39960,89.2,29.8,13.5
8,Kansas,2011,139579.4,8269.2,5.9244,6328.1,4.5337,4621.9,3.31,23522.9,16.9,92479.2,43015,90.0,30.1,13.8
8,Kansas,2012,141818.2,7706.7,5.4342,5404.2,3.8107,4959.0,3.50,23105.3,16.3,94620.8,45294,90.2,30.4,14.0
8,Kansas,2013,141723.4,9392.5,6.6273,7064.7,4.9848,4937.7,3.48,19556.1,13.8,96250.2,46174,90.1,31.1,13.9
8,Kansas,2014,145344.2,7716.1,5.3088,5263.5,3.6214,4995.4,3.44,21732.1,15.0,99395.5,47013,90.3,31.5,13.5
8,Kansas,2015,148810.5,7605.7,5.1110,5274.8,3.5446,4977.3,3.34,22853.2,15.4,101825.9,47332,90.3,31.7,12.9
8,Kansas,2016,153695.3,9146.9,5.9513,6973.9,4.5375,5018.9,3.27,23795.5,15.5,103792.2,47326,90.5,32.8,12.2
8,Kansas,2017,155407.9,7600.2,4.8905,5515.7,3.5492,4981.6,3.21,24344.4,15.7,107133.4,48756,91.0,33.7,11.9
8,Kansas,2018,158906.3,8011.7,5.0418,6142.8,3.8657,5081.8,3.20,26094.0,16.4,111458.2,50811,91.0,33.8,11.9
8,Kansas,2019,160182.3,8449.6,5.2750,6423.7,4.0102,5161.5,3.22,26393.8,16.5,114770.6,52820,91.8,34.0,11.3
8,Kansas,2020,156770.1,8951.8,5.7101,6789.2,4.3306,5037.3,3.21,25222.8,16.1,113185.3,55677,91.8,35.1,10.6
9,Kentucky,2005,171180.3,9853.3,5.7561,3382.8,1.9762,8076.2,4.72,31037.1,18.1,106030.8,29241,79.3,19.9,16.9
9,Kentucky,2006,175657.7,10603.4,6.0364,3805.5,2.1664,7411.3,4.22,34161.6,19.4,111616.9,30660,79.6,20.0,17.0
9,Kentucky,2007,174407.3,9262.6,5.3109,2574.4,1.4761,7310.9,4.19,32460.2,18.6,115384.9,31728,80.1,20.0,17.2
9,Kentucky,2008,173810.1,8165.0,4.6977,1852.6,1.0659,7088.2,4.08,31005.5,17.8,119327.7,33002,81.3,19.7,17.3
9,Kentucky,2009,166704.2,9138.2,5.4817,2854.5,1.7123,6543.1,3.92,25850.2,15.5,119334.1,32397,81.7,21.0,18.4
9,Kentucky,2010,173780.1,8019.3,4.6146,2042.4,1.1753,6086.7,3.50,29857.4,17.2,123774.3,33409,81.9,20.5,18.9
9,Kentucky,2011,175745.3,8247.7,4.6930,2212.0,1.2586,6054.8,3.45,30027.6,17.1,128901.9,34799,83.1,21.1,19.1
9,Kentucky,2012,178143.7,6717.1,3.7706,2106.8,1.1826,6342.7,3.56,32817.5,18.4,131569.5,35875,83.8,21.8,19.3
9,Kentucky,2013,181505.9,8296.3,4.5708,3768.6,2.0763,6160.6,3.39,34572.7,19.0,134202.0,36058,84.1,22.6,18.8
9,Kentucky,2014,181471.8,7311.6,4.0291,3276.5,1.8055,6196.7,3.41,34032.4,18.8,138860.5,37645,84.5,22.2,19.0
9,Kentucky,2015,182916.0,7208.0,3.9406,3623.3,1.9809,6223.7,3.40,33297.2,18.2,143345.3,39232,85.1,23.3,18.3
9,Kentucky,2016,184115.0,6378.2,3.4642,3577.1,1.9429,6070.0,3.30,33041.2,17.9,148558.2,39750,85.7,23.4,18.2
9,Kentucky,2017,185866.5,6459.0,3.4751,3940.3,2.1200,6050.2,3.26,34712.1,18.7,154166.2,40770,86.3,24.0,17.1
9,Kentucky,2018,188083.6,6282.3,3.3402,3863.1,2.0539,5998.3,3.19,34865.9,18.5,160787.7,41977,86.8,24.8,16.7
9,Kentucky,2019,191355.5,5950.5,3.1097,3703.6,1.9355,6121.3,3.20,36269.1,19.0,165185.9,43629,87.2,25.1,16.0
9,Kentucky,2020,185535.1,6019.0,3.2441,4048.2,2.1819,5956.3,3.21,34981.4,18.9,163749.9,47058,88.7,27.4,14.9
10,Pennsylvania,2005,594855.1,9552.8,1.6059,9552.8,1.6059,26127.7,4.39,84515.4,14.2,390394.7,36410,85.8,24.8,25.1
10,Pennsylvania,2006,597219.2,9873.4,1.6532,9873.4,1.6532,25506.7,4.27,86469.0,14.5,408447.7,38109,86.2,25.4,25.4
10,Pennsylvania,2007,617309.9,9951.7,1.6121,9951.7,1.6121,24890.6,4.03,87166.8,14.1,426004.0,40337,86.8,25.8,25.8
10,Pennsylvania,2008,629807.9,9781.6,1.5531,9781.6,1.5531,24007.7,3.81,85652.4,13.6,441304.0,41728,87.5,26.3,26.3
10,Pennsylvania,2009,610147.9,11503.3,1.8853,11503.3,1.8853,20393.5,3.34,77521.0,12.7,437162.0,40530,87.9,26.4,26.4
10,Pennsylvania,2010,627726.3,12642.6,2.0140,12642.6,2.0140,22128.8,3.53,77902.0,12.4,455819.5,42251,88.4,27.1,27.1
10,Pennsylvania,2011,637114.0,14166.6,2.2236,14166.6,2.2236,23183.6,3.64,76584.5,12.0,473141.1,44211,88.6,27.0,27.0
10,Pennsylvania,2012,647925.9,15675.0,2.4193,15675.0,2.4193,23150.7,3.57,75680.2,11.7,483674.8,45855,88.9,27.8,27.8
10,Pennsylvania,2013,655929.2,15356.4,2.3412,15356.4,2.3412,22979.4,3.50,79891.2,12.2,493105.3,46213,89.2,28.7,28.7
10,Pennsylvania,2014,669643.1,19892.0,2.9705,19892.0,2.9705,22892.2,3.42,85053.0,12.7,506662.5,48063,89.4,29.0,29.0
10,Pennsylvania,2015,682466.1,21267.7,3.1163,21267.7,3.1163,23036.5,3.38,83863.0,12.3,520049.5,49927,89.7,29.7,29.7
10,Pennsylvania,2016,688359.4,19255.4,2.7973,19255.4,2.7973,22834.3,3.32,83236.7,12.1,531332.5,51181,90.1,30.8,30.8
10,Pennsylvania,2017,694236.5,20091.0,2.8940,20091.0,2.8940,23274.9,3.35,85899.8,12.4,549291.5,52499,90.6,31.4,31.4
10,Pennsylvania,2018,703946.0,19060.9,2.7077,19060.9,2.7077,23452.9,3.33,85405.0,12.1,577035.9,55184,91.0,31.8,31.8
10,Pennsylvania,2019,716173.4,20578.9,2.8735,20578.9,2.8735,23422.9,3.27,89920.4,12.6,594860.8,56742,91.0,32.3,32.3
10,Pennsylvania,2020,683773.9,20509.6,2.9995,20509.6,2.9995,21725.6,3.18,90350.7,13.2,570772.0,60720,91.6,34.0,34.0
11,Texas,2005,1141373.7,109722.8,9.6132,12546.5,1.0992,59488.4,5.21,176481.8,15.5,620204.2,33276,78.3,24.5,17.5
11,Texas,2006,1228547.3,123973.0,10.0910,11556.4,0.9407,62866.2,5.12,200158.7,16.3,661764.6,35630,78.6,24.7,16.9
11,Texas,2007,1286192.7,136204.1,10.5897,10056.7,0.7819,67418.3,5.24,216854.9,16.9,702866.4,37085,79.1,25.2,16.3
11,Texas,2008,1282088.7,131428.2,10.2511,7644.6,0.5963,67271.9,5.25,197663.8,15.4,734606.7,39946,79.6,25.3,15.8
11,Texas,2009,1277295.4,154332.5,12.0828,8391.5,0.6570,61068.6,4.78,185771.3,14.5,734617.2,37269,79.9,25.5,17.1
11,Texas,2010,1309962.4,132410.9,10.1080,11826.3,0.9028,58161.6,4.44,206540.9,15.8,772104.7,39034,80.7,25.9,17.9
11,Texas,2011,1353600.4,137193.8,10.1355,8571.9,0.6333,58518.0,4.32,214847.4,15.9,818338.9,42037,81.1,26.4,18.5
11,Texas,2012,1421180.1,167758.3,11.8042,8137.6,0.5726,63763.1,4.49,207319.6,14.6,857206.9,44241,81.4,26.7,17.9
11,Texas,2013,1484700.1,185558.3,12.4980,10448.6,0.7037,65236.2,4.39,230117.8,15.5,893396.7,44816,81.9,27.5,17.5
11,Texas,2014,1529617.1,209475.9,13.6947,10802.5,0.7062,67292.8,4.40,206708.1,13.5,945832.8,47370,82.2,27.8,17.2
11,Texas,2015,1605901.7,246023.0,15.3199,15203.6,0.9467,68780.3,4.28,213089.5,13.3,985928.1,47465,82.4,28.4,15.9
11,Texas,2016,1619954.2,231502.2,14.2907,13311.6,0.8217,69157.5,4.27,208101.1,12.8,1024102.9,46586,82.9,28.9,15.6
11,Texas,2017,1664218.5,232494.6,13.9702,13643.2,0.8198,68505.0,4.12,219695.2,13.2,1070581.3,49227,83.6,29.6,14.7
11,Texas,2018,1729286.6,236488.0,13.6755,13434.7,0.7769,67692.0,3.91,236585.1,13.7,1128352.2,52019,84.0,30.3,14.9
11,Texas,2019,1785317.9,272860.0,15.2836,11711.5,0.6560,68957.9,3.86,235556.1,13.2,1173808.6,53505,84.6,30.8,13.6
11,Texas,2020,1734321.1,239147.8,13.7891,11322.3,0.6528,65334.7,3.77,220546.2,12.7,1164466.4,55399,85.8,33.2,13.4
